condition,epoch,loglik,change
winsfs_b500_w100,2,52.778,8.143
winsfs_b500_w100,3,52.778,5.8759e-4
winsfs_b500_w100,4,52.778,2.3865e-5
winsfs_b500_w100,5,52.778,7.6469e-6
winsfs_b500_w100,6,52.778,5.0821e-6
winsfs_b500_w100,7,52.778,3.943e-6
winsfs_b500_w100,8,52.778,3.2156e-6
winsfs_b500_w100,9,52.778,2.6986e-6
winsfs_b500_w100,10,52.778,2.3125e-6
winsfs_b500_w100,11,52.778,2.0146e-6
winsfs_b500_w100,12,52.778,1.7788e-6
winsfs_b500_w100,13,52.778,1.5882e-6
winsfs_b500_w100,14,52.778,1.4316e-6
winsfs_b500_w100,15,52.778,1.301e-6
winsfs_b500_w100,16,52.778,1.1908e-6
winsfs_b500_w100,17,52.778,1.0968e-6
winsfs_b500_w100,18,52.778,1.0158e-6
winsfs_b500_w100,19,52.778,9.4546e-7
winsfs_b500_w100,20,52.778,8.8382e-7
winsfs_b500_w100,21,52.778,8.2944e-7
winsfs_b500_w100,22,52.778,7.8114e-7
winsfs_b500_w100,23,52.778,7.3798e-7
winsfs_b500_w100,24,52.778,6.992e-7
winsfs_b500_w100,25,52.778,6.6416e-7
winsfs_b500_w100,26,52.778,6.3236e-7
winsfs_b500_w100,27,52.778,6.0337e-7
winsfs_b500_w100,28,52.778,5.7682e-7
winsfs_b500_w100,29,52.778,5.5243e-7
winsfs_b500_w100,30,52.778,5.2993e-7
winsfs_b500_w100,31,52.778,5.0911e-7
winsfs_b500_w100,32,52.778,4.898e-7
winsfs_b500_w100,33,52.778,4.7182e-7
winsfs_b500_w100,34,52.778,4.5505e-7
winsfs_b500_w100,35,52.778,4.3936e-7
winsfs_b500_w100,36,52.778,4.2466e-7
winsfs_b500_w100,37,52.778,4.1085e-7
winsfs_b500_w100,38,52.778,3.9785e-7
winsfs_b500_w100,39,52.778,3.8559e-7
winsfs_b500_w100,40,52.778,3.7401e-7
winsfs_b500_w100,41,52.778,3.6305e-7
winsfs_b500_w100,42,52.778,3.5267e-7
winsfs_b500_w100,43,52.778,3.4282e-7
winsfs_b500_w100,44,52.778,3.3346e-7
winsfs_b500_w100,45,52.778,3.2455e-7
winsfs_b500_w100,46,52.778,3.1607e-7
winsfs_b500_w100,47,52.778,3.0797e-7
winsfs_b500_w100,48,52.778,3.0025e-7
winsfs_b500_w100,49,52.778,2.9286e-7
winsfs_b500_w100,50,52.778,2.9286e-7
winsfs_b500_w250,2,52.821,8.8006
winsfs_b500_w250,3,52.78,0.041454
winsfs_b500_w250,4,52.778,0.0021015
winsfs_b500_w250,5,52.778,2.6018e-4
winsfs_b500_w250,6,52.778,5.7265e-5
winsfs_b500_w250,7,52.777,1.8641e-5
winsfs_b500_w250,8,52.777,8.4271e-6
winsfs_b500_w250,9,52.777,4.9965e-6
winsfs_b500_w250,10,52.777,3.5737e-6
winsfs_b500_w250,11,52.777,2.8533e-6
winsfs_b500_w250,12,52.777,2.4188e-6
winsfs_b500_w250,13,52.777,2.1191e-6
winsfs_b500_w250,14,52.777,1.8928e-6
winsfs_b500_w250,15,52.777,1.7118e-6
winsfs_b500_w250,16,52.777,1.5619e-6
winsfs_b500_w250,17,52.777,1.4348e-6
winsfs_b500_w250,18,52.777,1.3253e-6
winsfs_b500_w250,19,52.777,1.23e-6
winsfs_b500_w250,20,52.777,1.1461e-6
winsfs_b500_w250,21,52.777,1.0719e-6
winsfs_b500_w250,22,52.777,1.0058e-6
winsfs_b500_w250,23,52.777,9.4648e-7
winsfs_b500_w250,24,52.777,8.9311e-7
winsfs_b500_w250,25,52.777,8.4485e-7
winsfs_b500_w250,26,52.777,8.0102e-7
winsfs_b500_w250,27,52.777,7.6107e-7
winsfs_b500_w250,28,52.777,7.2454e-7
winsfs_b500_w250,29,52.777,6.9102e-7
winsfs_b500_w250,30,52.777,6.6019e-7
winsfs_b500_w250,31,52.777,6.3174e-7
winsfs_b500_w250,32,52.777,6.0544e-7
winsfs_b500_w250,33,52.777,5.8105e-7
winsfs_b500_w250,34,52.777,5.5839e-7
winsfs_b500_w250,35,52.777,5.373e-7
winsfs_b500_w250,36,52.777,5.1762e-7
winsfs_b500_w250,37,52.777,4.9923e-7
winsfs_b500_w250,38,52.777,4.8201e-7
winsfs_b500_w250,39,52.777,4.6586e-7
winsfs_b500_w250,40,52.777,4.5069e-7
winsfs_b500_w250,41,52.777,4.3642e-7
winsfs_b500_w250,42,52.777,4.2297e-7
winsfs_b500_w250,43,52.777,4.1029e-7
winsfs_b500_w250,44,52.777,3.983e-7
winsfs_b500_w250,45,52.777,3.8696e-7
winsfs_b500_w250,46,52.777,3.7621e-7
winsfs_b500_w250,47,52.777,3.6602e-7
winsfs_b500_w250,48,52.777,3.5635e-7
winsfs_b500_w250,49,52.777,3.4715e-7
winsfs_b500_w250,50,52.777,3.4715e-7
winsfs_b500_w500,2,53.061,8.9324
winsfs_b500_w500,3,52.825,0.23686
winsfs_b500_w500,4,52.787,0.037271
winsfs_b500_w500,5,52.78,0.0071663
winsfs_b500_w500,6,52.778,0.0017395
winsfs_b500_w500,7,52.778,5.2896e-4
winsfs_b500_w500,8,52.778,1.9323e-4
winsfs_b500_w500,9,52.778,8.1523e-5
winsfs_b500_w500,10,52.778,3.8655e-5
winsfs_b500_w500,11,52.777,2.0264e-5
winsfs_b500_w500,12,52.777,1.1638e-5
winsfs_b500_w500,13,52.777,7.2824e-6
winsfs_b500_w500,14,52.777,4.937e-6
winsfs_b500_w500,15,52.777,3.5987e-6
winsfs_b500_w500,16,52.777,2.7919e-6
winsfs_b500_w500,17,52.777,2.2793e-6
winsfs_b500_w500,18,52.777,1.9363e-6
winsfs_b500_w500,19,52.777,1.6951e-6
winsfs_b500_w500,20,52.777,1.5175e-6
winsfs_b500_w500,21,52.777,1.381e-6
winsfs_b500_w500,22,52.777,1.2721e-6
winsfs_b500_w500,23,52.777,1.1824000000000001e-06
winsfs_b500_w500,24,52.777,1.1066e-6
winsfs_b500_w500,25,52.777,1.0412e-6
winsfs_b500_w500,26,52.777,9.8368e-7
winsfs_b500_w500,27,52.777,9.3253e-7
winsfs_b500_w500,28,52.777,8.8651e-7
winsfs_b500_w500,29,52.777,8.4477e-7
winsfs_b500_w500,30,52.777,8.0665e-7
winsfs_b500_w500,31,52.777,7.7163e-7
winsfs_b500_w500,32,52.777,7.3932e-7
winsfs_b500_w500,33,52.777,7.094e-7
winsfs_b500_w500,34,52.777,6.816e-7
winsfs_b500_w500,35,52.777,6.5568e-7
winsfs_b500_w500,36,52.777,6.3148e-7
winsfs_b500_w500,37,52.777,6.0881e-7
winsfs_b500_w500,38,52.777,5.8755e-7
winsfs_b500_w500,39,52.777,5.6757e-7
winsfs_b500_w500,40,52.777,5.4875e-7
winsfs_b500_w500,41,52.777,5.31e-7
winsfs_b500_w500,42,52.777,5.1425e-7
winsfs_b500_w500,43,52.777,4.984e-7
winsfs_b500_w500,44,52.777,4.8339e-7
winsfs_b500_w500,45,52.777,4.6916e-7
winsfs_b500_w500,46,52.777,4.5566e-7
winsfs_b500_w500,47,52.777,4.4282e-7
winsfs_b500_w500,48,52.777,4.3062e-7
winsfs_b500_w500,49,52.777,4.1899e-7
winsfs_b500_w500,50,52.777,4.1899e-7
